incident_reference,imb_incident_number,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_state_cow_code,location_description,day,month,year,lat_decimal_degrees,long_decimal_degrees,location_precision,geolocation_source,vessel_name,flag,flag_cow_code,vessel_type,steaming_or_stationary,number_of_assailants,armed,weaponry,violence,violence_dummy,type_of_stolen_goods,port_response_received,ransom_paid,steaming_recode,incident_type_recode,incident_action_recode,time_day,converted_time
1380,,attempted,,myanmar,myanmar,775,"ne_of_andaman_islands,_myanmar",7,5,2000,14.19333333,93.75666667,1,imb,x_press_makalu,singapore,830,4,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1379,,actual,boarded,thailand,thailand,800,"kosichange,_thailand",7,5,2000,13.138,100.825,2,imb,maria,greece,350,2,berthed,unspecified,0,unspecified,0,0,stores,1,0,3,1,2,-99,
1377,,attempted,,philippines,philippines,840,malaysia,7,5,2000,7.203333333,118.2083333,1,imb,seabee,greece,350,2,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1381,,actual,boarded,mozambique,mozambique,541,"nacala,_mozambique",8,5,2000,-14.53816667,40.67166667,2,imb,pacific_ocean,greece,350,2,anchored,unspecified,1,knives,3,1,stores,1,0,2,1,2,-99,
1382,,attempted,,bangladesh,bangladesh,771,"mongla,_bangladesh",8,5,2000,22.4855,89.58583333,2,imb,ocean_bird,denmark,390,6,anchored,unspecified,0,unspecified,0,0,zinc_anodes,1,0,2,0,-99,-99,
1383,,attempted,,malaysia,malaysia,820,malacca_straits,9,5,2000,1.628333333,102.975,1,imb,pacific,singapore,830,7,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1384,,actual,boarded,indonesia,indonesia,850,indonesia,9,5,2000,2.083333333,109.2166667,1,imb,nepline_delima,malaysia,820,8,steaming,4,1,long_knives,4,1,"cash,_personal_belongings",1,0,1,1,2,-99,
1385,,actual,boarded,indonesia,indonesia,850,"container_terminal,_belawan,_indonesia",9,5,2000,3.783666667,98.70066667,2,imb,mcc_vantage,cyprus,352,4,berthed,3,1,knives,3,1,unspecified,1,0,3,1,2,-99,
1387,,actual,boarded,india,india,750,"chennai_anchorage,_india",10,5,2000,13.10666667,80.305,2,imb,gem_of_vizag,india,750,6,anchored,1,0,unspecified,0,0,stores,1,0,2,1,2,-99,
1388,,actual,boarded,bangladesh,bangladesh,771,"chittagong,_bangladesh",10,5,2000,22.23833333,91.82666667,2,imb,professor_pavienko,ukraine,369,6,anchored,4,1,unspecified,3,1,stores,1,0,2,1,2,-99,
1386,,attempted,,indonesia,indonesia,850,"merak,_indonesia",10,5,2000,-5.953166667,105.9921667,2,imb,oocl_acclaim,panama,95,4,anchored,unspecified,1,guns,3,1,none,1,0,2,0,-99,-99,
1389,,actual,boarded,indonesia,indonesia,850,"belawan_anchorage,_indonesia",12,5,2000,3.783666667,98.70066667,2,imb,tam_dao,vietnam,817,6,anchored,5,1,long_knives,4,1,stores,1,0,2,1,2,-99,
1390,,attempted,,bangladesh,bangladesh,771,"chittagong,_bangladesh",13,5,2000,22.23833333,91.82666667,2,imb,clipper_eagle,bahamas,31,6,berthed,4,1,crowbars,0,0,unknown,,,3,0,-99,-99,
1392,,attempted,,malaysia,malaysia,820,malaysia,15,5,2000,5.838333333,115.6216667,1,imb,meridian_star,malaysia,820,8,steaming,5,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1391,,actual,boarded,indonesia,indonesia,850,"batu_ampar,_batam,_indonesia",15,5,2000,1.116666667,104.1666667,2,imb,erya_3,unspecified,-99,-99,steaming,10,0,unspecified,0,0,unspecified,1,0,1,1,2,-99,
1395,,actual,hijacked,haiti,haiti,41,"off_port_au_prince,_haiti_",16,5,2000,18.5533,-72.3625,4,imb,ginive_engleche,haiti,42,9,steaming,10,1,unspecified,4,1,unspecified,1,0,1,1,1,-99,
1394,,actual,boarded,india,india,750,"chennai_anchorage,_india",16,5,2000,13.10666667,80.305,2,imb,kota_sabas,singapore,830,6,anchored,2,0,none,0,0,unspecified,1,0,2,1,2,-99,
1393,,attempted,,internationa_waters_(indian_ocean),indonesia,850,"between_darwin_and_christmas_island,_australia",16,5,2000,-13.4,114.75,1,imb,spirit_of_juno,unspecified,-99,9,steaming,unspecified,0,unspecified,1,0,none,1,0,1,0,-99,-99,
1396,,actual,boarded,angola,angola,540,"luanda,_angola",17,5,2000,-8.786666667,13.25833333,2,imb,pacific_challenger,st._vincent_&_grenadines,58,6,anchored,9,1,long_knives,4,1,unspecified,1,0,2,1,2,-99,
1397,,actual,boarded,malaysia,malaysia,820,malacca_straits,17,5,2000,1.9925,102.2116667,1,imb,temasek,singapore,830,8,steaming,unspecified,0,unspecified,0,0,"cash,_property",1,0,1,1,2,-99,
1398,,actual,boarded,indonesia,indonesia,850,"belawan,_indonesia",17,5,2000,3.783666667,98.70066667,2,imb,bunga_cenderawasih,malaysia,820,3,anchored,5,0,unspecified,0,0,none,1,0,2,1,2,-99,
1399,,actual,boarded,india,india,750,"cochin_oil_terminal,_india",21,5,2000,10,76.05,2,imb,major_shaitan_singh_pvc,india,750,8,berthed,unspecified,0,unspecified,0,0,stores,1,0,3,1,2,-99,
1400,,actual,boarded,indonesia,indonesia,850,"anyer,_indonesia",22,5,2000,-6.041833333,105.9193333,2,imb,four_cutter,cayman_islands,-99,8,berthed,4,1,long_knives,3,1,unspecified,1,0,3,1,2,-99,
1401,,actual,boarded,indonesia,indonesia,850,"samarinda,_indonesia",23,5,2000,-0.540166667,117.1383333,2,imb,qing_ann,singapore,830,6,anchored,2,1,long_knives,3,1,unspecified,1,0,2,1,2,-99,
1402,,actual,boarded,bangladesh,bangladesh,771,"chittagong,_bangladesh",25,5,2000,22.23833333,91.82666667,2,imb,paulina,panama,95,2,berthed,5,0,unspecified,0,0,stores,1,0,3,1,2,-99,
1403,,actual,hijacked,china,china,710,"off_sai_kung,_hong_kong_",26,5,2000,22.381,114.2747,4,imb,unspecified,hong_kong,710,5,steaming,unspecified,0,unspecified,2,1,boat,1,0,1,1,1,-99,
1405,,attempted,,malaysia,malaysia,820,"pulau_undan,_malacca_straits",27,5,2000,2.018333333,102.19,1,imb,temasek,singapore,830,8,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1404,,actual,boarded,malaysia,malaysia,820,"pulau_undan,_malacca_straits",27,5,2000,1.933333333,102.35,1,imb,ribuan_jaya,malaysia,820,6,steaming,unspecified,0,unspecified,0,0,"cash,_property",1,0,1,1,2,-99,
1406,,attempted,,malaysia,malaysia,820,malacca_straits,28,5,2000,1.783333333,102.4666667,1,imb,cosmo_jupiter,panama,95,8,steaming,10,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1407,,actual,boarded,malaysia,malaysia,820,malacca_straits,28,5,2000,2,102.4666667,1,imb,encounter,panama,95,3,steaming,5,1,long_knives,3,1,unspecified,1,0,1,1,2,-99,
1408,,actual,hijacked,belize,belize,80,on_passage_from_guatemala_to_belize_,30,5,2000,16.2341,-88.326,4,imb,maria_estela,unspecified,-99,9,steaming,3,1,unspecified,5,1,unspecified,1,0,1,1,1,-99,
1411,,actual,boarded,sri_lanka,sri_lanka,780,"colombo_anchorage,_sri_lanka",31,5,2000,6.958333333,79.85166667,2,imb,bunga_teratai_4,malaysia,820,4,anchored,unspecified,0,unspecified,0,0,stores,1,0,2,1,2,-99,
1409,,attempted,,malaysia,malaysia,820,malacca_straits,31,5,2000,1.783333333,102.4683333,1,imb,clarita,panama,95,2,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
