Incident Reference,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,IMO?,Location Description,Day,Month,Year,Hour (24-Hr Format),Latitude GPS,Latitude Direction,Lat Degrees,Lat Minutes,Lat Decimal Degrees,Longitude GPS,Longitude Direction,Long Degrees,Long Minutes,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
5261,Attempted,,Yemen,Yemen,679,,Gulf of Aden,10,4,2011,11:15,12:02,North,12.0000,2.0000,12.0333,045:08,East,45.0000,8.0000,45.1333,1,IMB,North Contender,Panama,95,3,Steaming,9,0,Unspecified,0,0,0,1,0,1,0,-99,1,11:15:00 AM
5278,Attempted,,Seychelles,Seychelles,591,,"Around 360NM East of Zanzibar Island, Tanzania. Off Somalia",24,4,2011,14:40,06:56,South,6.0000,56.0000,-6.9333,045:43,East,45.0000,43.0000,45.7167,1,IMB,Atlantia,Panama,95,3,Steaming,7,1,Unspecified,1,1,0,1,0,1,0,-99,2,2:40:00 PM
5309,Actual,Hijacked,Benin,Benin,434,,"Off Cotonou, Benin",15,5,2011,,6:20.59,North,6.0000,20.5900,6.3432,2:25.59,East,2.0000,25.5900,2.4265,5,IMB,Eagle Miri,Panama,95,3,Anchored,Unspecified,1,Unspecified,0,0,1,1,0,2,1,1,-99,
5313,Actual,Boarded,Indonesia,Indonesia,850,,"Belawan Anchorage, Indonesia",15,5,2011,2:40,"3:46,60",North,3.0000,46.6000,3.7767,"98:40,60",East,98.0000,40.6000,98.6767,2,IMB,Justine,Panama,95,3,Anchored,2,0,Unspecified,0,0,0,1,0,2,1,2,4,2:40:00 AM
5323,Attempted,,Eritrea,Eritrea,531,,"Around 45NM WxS of Al Hudaydah, Yemen. Red Sea",22,5,2011,6:17,14:31,North,14.0000,31.0000,14.5167,42:13,East,42.0000,13.0000,42.2167,1,IMB,Golden Yosa,Panama,95,3,Steaming,Unspecified,1,Unspecified,1,1,0,1,0,1,0,-99,1,6:17:00 AM
5363,Attempted,,India,India,750,,"Around 30NM NW of Trivandrum, India. Off Somalia",18,6,2011,3:19,08:37,North,8.0000,37.0000,8.6167,076:26,East,76.0000,26.0000,76.4333,1,IMB,Pacific Marchioness,Panama,95,3,Steaming,Unspecified,0,Unspecified,0,0,0,1,0,1,0,-99,4,3:19:00 AM
5383,Attempted,,Yemen,Yemen,679,,Red Sea,13,7,2011,7:17,12:44,North,12.0000,44.0000,12.7333,043:18,East,43.0000,18.0000,43.3000,1,IMB,North Fighter,Panama,95,3,Steaming,Unspecified,1,Guns,0,0,0,1,0,1,0,-99,1,7:17:00 AM
5419,Attempted,,Eritrea,Eritrea,531,,Red Sea,10,8,2011,14:50,13:08.8,North,13.0000,8.8000,13.1467,043:7,East,43.0000,4.0000,43.0667,1,IMB,Golden Topstar,Panama,95,3,Steaming,Unspecified,0,Unspecified,0,0,0,1,0,1,0,-99,2,2:50:00 PM
5443,Actual,Boarded,Indonesia,Indonesia,850,,"KTB Anchorage Off Tebing Island, Indonesia",9,9,2011,2:00,01:03.83,North,1.0000,3.8300,1.0638,103:30.64,East,103.0000,30.6400,103.5107,1,IMB,Ginga Falcon,Panama,95,3,Steaming,3,0,Unspecified,0,0,0,1,0,1,1,2,4,2:00:00 AM
5493,Attempted,,Indonesia,Indonesia,850,,"Dumai Inner Anchorage, Indonesia",26,10,2011,1:30,01:42.2,North,1.0000,42.2000,1.7033,"101:29,3",East,101.0000,29.3000,101.4883,1,IMB,JBU Oslo,Panama,95,3,Anchored,2,0,Unspecified,0,0,0,1,0,2,0,-99,4,1:30:00 AM
5509,Actual,Boarded,Malaysia,Malaysia,820,,"KPO Terminal Sandakan Port, Sabah, Malaysia",14,11,2011,3:50,05:48.05,North,5.0000,48.0500,5.8008,118:04.75,East,118.0000,4.7500,118.0792,1,IMB,Sun Diana,Panama,95,3,Berthed,4,1,Long knives,0,0,1,1,0,3,1,2,4,3:50:00 AM
5578,Actual,Boarded,Malaysia,Malaysia,820,,"Sandakan Inner Anchorage, Sabah, Malaysia",28,1,2012,3:40,5:48.0,North,5.0000,48.0000,5.8000,118:05.0,East,118.0000,5.0000,118.0833,1,IMB,Golden Fountain,Panama,95,3,Anchored,Unspecified,1,Long Knives,3,1,0,1,0,2,1,2,4,3:40:00 AM
5586,Attempted,,Yemen,Yemen,679,,"Bab El Mandeb Straits, Red Sea",6,2,2012,14:38,12:48.7,North,12.0000,48.7000,12.8117,43:17.9,East,43.0000,17.9000,43.2983,1,IMB,Rabigh Sunrise,Panama,95,3,Steaming,8,0,Unknown,3,1,0,1,0,1,0,-99,2,2:38:00 PM
5600,Attempted,,Djibouti,Djibouti,522,,"Bab El Mandeb Straits, Red Sea",15,2,2012,6:00,12:35.0,North,12.0000,35.0000,12.5833,43:20.0,East,43.0000,20.0000,43.3333,1,IMB,Bow Sagami,Panama,95,3,Steaming,7,0,Unknown,4,1,0,1,0,1,0,-99,4,6:00:00 AM
5612,Attempted,,Oman,Oman,698,,"Around 280nm ExS of Salah, Oman, off Somalia",28,2,2012,5:50,16:03.9,North,16.0000,3.9000,16.0650,58:58.9,East,58.0000,58.9000,58.9817,1,IMB,Pacific Horizon II,Panama,95,3,Steaming,3 to 4,0,Unknown,1,1,0,1,0,1,0,-99,4,5:50:00 AM
5616,Attempted,Fired Upon,Nigeria,Nigeria,475,,"Around 5nm off Baylesa, Nigeria",29,2,2012,21:10,4:20.0,North,4.0000,20.0000,4.3333,5:47.0,East,5.0000,47.0000,5.7833,1,IMB,Olivia I,Panama,95,3,Steaming,7 to 8,1,Guns,4,1,0,1,0,1,0,3,3,9:10:00 PM
5618,Actual,Hijacked,Oman,Oman,698,,"(Around 211 nm ENE of Masirah Island, Oman) Off Somalia",2,3,2012,12:19,21:27,North,21.0000,27.0000,21.4500,62:37,East,62.0000,37.0000,62.6167,1,IMB,Royal Grace,Panama,95,3,Steaming,Unspecified,1,Unspecified,4,1,0,1,0,1,1,1,2,12:19:00 PM
5655,Actual,Boarded,Indonesia,Indonesia,850,,"Belawan Anchorage, Indonesia",8,4,2012,1:56,3:54.7,North,3.0000,54.7000,3.9117,98:46.2,East,98.0000,46.2000,98.7700,1,IMB,Oriental Protea,Panama,95,3,Anchored,4,1,Unspecified,3,1,0,1,0,2,1,2,4,1:56:00 AM
