Incident Reference,IMB incident number,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,Location Description,Day,Month,Year,Lat Decimal Degrees,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
541,,Actual,Boarding,Indonesia,Indonesia,850,"Jakarta Roads, Indonesia",4,1,1997,-6.0886667,106.875,4,IMB,Petrobulk Racer,Liberia,450,8,Unspecified,5,0,Unspecified,,0,0,1,0,-99,1,2,-99,
542,,Actual,Hijacked,Ghana,Ghana,452,"Tema, Ghana",6,1,1997,5.616666667,-0.016666667,4,IMB,Jahan,Panama,95,2,Steaming,Unspecified,0,Unspecified,,1,0,1,0,1,1,1,-99,
544,,Actual,Boarding,China,China,710,"Subic bay, Philippines",8,1,1997,37.4386667,122.185,4,IMB,Cheebong,Philippines,840,5,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
545,,Actual,Boarding,China,China,710,"Subic bay, Philippines",8,1,1997,37.4386667,122.185,4,IMB,Jing Jang,Philippines,840,5,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
543,,Actual,Boarding,Sri Lanka,Sri Lanka,780,"Colombo Anchorage, Sri Lanka",8,1,1997,6.95,79.8431667,2,IMB,Mumbay Bay,,,,Anchored,Unspecified,0,Unspecified,,0,0,1,0,2,1,2,-99,
546,,Attempted,,Turkey,Turkey,640,Off the coast of Turkey,11,1,1997,40.6047,33.3406,4,IMB,Ivan Chernych,Russia,365,6,Steaming,14,0,Unspecified,,0,0,1,0,1,0,-99,-99,
547,,Actual,Boarding,Indonesia,Indonesia,850,"Jakarta Roads, Indonesia",13,1,1997,-6.0886667,106.875,4,IMB,Petrobulk Racer,Liberia,450,8,Unspecified,5,0,Unspecified,,0,0,1,0,-99,1,2,-99,
548,,Actual,Boarding,Philippines,Philippines,840,"Manila bay, Philippines",14,1,1997,14.5226667,120.7555,2,IMB,Ocean Prize,Philippines,840,2,Anchored,Unspecified,0,Unspecified,,0,1,1,0,2,1,2,-99,
549,,Actual,Boarding,Ecuador,Ecuador,130,"Guayaquil, Ecuador",17,1,1997,-2.2666667,-79.9,4,IMB,Tamamonta,Bahamas,31,6,Unspecified,2,0,Unspecified,,0,0,1,0,-99,1,2,-99,
552,,Attempted,,Taiwan,Taiwan,713,HLH Area,18,1,1997,22.0666667,119.1333333,1,IMB,Paramushir,Russia,365,6,Steaming,Unspecified,1,Unspecified,,0,0,1,0,1,0,-99,-99,
550,,Actual,Boarding,Indonesia,Indonesia,850,"Berlian Wharf, Surabaya, Indonesia",18,1,1997,-7.1885,112.7466667,4,IMB,Auk Arrow,Bahamas,31,2,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
551,,Actual,Boarding,Indonesia,Indonesia,850,"Surabaya, Indonesia",18,1,1997,-7.1885,112.7466667,4,IMB,Nandu Arrow,Bahamas,31,10,Unspecified,Unspecified,1,Unspecified,,1,1,1,0,-99,1,2,-99,
553,,Actual,Boarding,Indonesia,Indonesia,850,"Balikpapan, Indonesia",20,1,1997,-1.25,116.7931667,2,IMB,Maersk Bovavista,Bahamas,31,1,Anchored,Unspecified,0,Unspecified,,0,1,1,0,2,1,2,-99,
